A    AX 
benéfica     B E N E+ F I K AX 
benéfico     B E N E+ F I K UX 
berros   B E+ RR UX S 
berço    B E+ RR S UX 
besouro  B E Z O+ R UX 
best     B E+ S TJ IX 
besta    B E+ S T AX 
bestas   B E+ S T AX S 
besteira     B E S T E+ I R AX 
beterraba    B E T E RR A+ B AX 
bexiga   B E SCH I+ G AX 
bezerros     B E Z E+ RR UX S 
bianual  B I A N U A+ W 
biblioteca   B I B L I O T E+ K AX 
bibliotecas  B I B L I O T E+ K AX S 
bibliotecário    B I B L I O T E K A+ R I UX 
bichinho     B I SCH I+ NJ UX 
bicho    B I+ SCH UX 
bichos   B I+ SCH UX S 
bicicleta    B I S I K L E+ T AX 
bicicletas   B I S I K L E+ T AX S 
bico     B I+ K UX 
bigode   B I G O+ DJ IX 
bigodes  B I G O+ DJ IX S 
bilaterais   B I L A T E R A+ IX S 
bilateral    B I L A T E R A+ W 
bilhar   B I LJ A+ RR 
bilhete  B I LJ E+ TJ IX 
bilheteria   B I LJ E T E R I+ AX 
bilheterias  B I LJ E T E R I+ AX S 
bilhetes     B I LJ E+ TJ IX S 
bilhão   B I LJ A~+ W~ 
bilhões  B I LJ O~+ I~ S 
bimotor  B I M O T O+ RR 
binóculos    B I N O+ K U L UX S 
biodiversidade   B I O DJ I V E RR S I D A+ DJ IX 
biografia    B I O G R A F I+ AX 
biografias   B I O G R A F I+ AX S 
biologia     B I O L O Z I+ AX 
biológica    B I O L O+ Z I K AX 
biológico    B I O L O+ Z I K UX 
biológicos   B I O L O+ Z I K UX S 
biotecnologia    B I O T E K N O L O Z I+ AX 
bioética     B I O E+ TJ I K AX 
bipartidário     B I P A RR TJ I D A+ R I UX 
biquini  B I K I N I+ 
biscoitos    B I S K O+ I T UX S 
bispo    B I+ S P UX 
bispos   B I+ S P UX S 
bizarra  B I Z A+ RR AX 
biólogo  B I O+ L O G UX 
blasfêmia    B L A S F E+ M I AX 
blecaute     B L E K A+ U TJ IX 
blindado     B L I~ D A+ D UX 
blindados    B L I~ D A+ D UX S 
blitz    B L I+ TJ I Z 
bloco    B L O+ K UX 
blocos   B L O+ K UX S 
bloqueada    B L O K E A+ D AX 
bloqueando   B L O K E A~+ D UX 
bloquear     B L O K E A+ RR 
bloquearam   B L O K E A+ R A~+ W~ 
bloqueava    B L O K E A+ V AX 
bloqueavam   B L O K E A+ V A~+ W~ 
bloqueia     B L O K E+ I AX 
bloqueiam    B L O K E I+ A~+ W~ 
bloqueio     B L O K E+ I UX 
bloqueios    B L O K E+ I UX S 
blue     B L U+ IX 
blues    B L U+ IX S 
blusa    B L U+ Z AX 
blusas   B L U+ Z AX S 
boa  B O+ AX 
boas     B O+ AX S 
boate    B O A+ TJ IX 
boato    B O A+ T UX 
boatos   B O A+ T UX S 
bobagem  B O B A+ Z E~ I~ 
bobagens     B O B A Z E~+ S 
bobo     B O+ B UX 
boca     B O+ K AX 
bocado   B O K A+ D UX 
bocas    B O+ K AX S 
bofetada     B O F E T A+ D AX 
boi  B O+ IX 
boiando  B O I A~+ D UX 
boicotar     B O I K O T A+ RR 
boicote  B O I K O+ TJ IX 
bois     B O+ IX S 
bola     B O+ L AX 
bolas    B O+ L AX S 
bolero   B O L E+ R UX 
boletim  B O L E TJ I~+ 
boletins     B O L E TJ I~+ S 
boleto   B O L E+ T UX 
bolhas   B O+ LJ AX S 
boliche  B O L I+ SCH IX 
boliviana    B O L I V I A~+ N AX 
bolo     B O+ L UX 
bolsa    B O+ W S AX 
bolsas   B O+ W S AX S 
bolso    B O+ W S UX 
bolsos   B O+ W S UX S 
bolsões  B O W S O~+ I~ S 
bom  B O~+ W~ 
bomba    B O~+ B AX 
bombardeadas     B O~ B A RR D E A+ D AX S 
bombardeando     B O~ B A RR D E A~+ D UX 
bombardear   B O~ B A RR D E A+ RR 
bombardearam     B O~ B A RR D E A+ R A~+ W~ 
bombardeio   B O~ B A RR D E+ I UX 
bombardeiro  B O~ B A RR D E+ I R UX 
bombas   B O~+ B AX S 
bombeiro     B O~ B E+ I R UX 
bombeiros    B O~ B E+ I R UX S 
bombons  B O~ B O~+ S 
bondade  B O~ D A+ DJ IX 
bonde    B O~+ DJ IX 
boneca   B O N E+ K AX 
bonecas  B O N E+ K AX S 
boneco   B O N E+ K UX 
bonecos  B O N E+ K UX S 
bonita   B O N I+ T AX 
bonitas  B O N I+ T AX S 
bonito   B O N I+ T UX 
bonitos  B O N I+ T UX S 
bons     B O~+ S 
boné     B O N E+ 
boom     B O O~+ W~ 
borboleta    B O RR B O L E+ T AX 
borboletas   B O RR B O L E+ T AX S 
bordados     B O RR D A+ D UX S 
bordo    B O+ RR D UX 
bordéis  B O RR D E+ IX S 
borracha     B O RR A+ SCH AX 
bosque   B O+ S K IX 
bossa    B O+ S AX 
bota     B O+ T AX 
botafoguense     B O T A F O G E~+ S IX 
botar    B O T A+ RR 
botas    B O+ T AX S 
bote     B O+ TJ IX 
boteco   B O T E+ K UX 
botequim     B O T E K I~+ 
botes    B O+ TJ IX S 
botou    B O T O+ 
botânico     B O T A~+ N I K UX 
botão    B O T A~+ W~ 
botões   B O T O~+ I~ S 
bovina   B O V I+ N AX 
boxe     B O+ SCH IX 
boxes    B O+ SCH IX S 
boêmio   B O E+ M I UX 
branca   B R A~+ K AX 
brancas  B R A~+ K AX S 
branco   B R A~+ K UX 
brancos  B R A~+ K UX S 
brasa    B R A+ Z AX 
brasileira   B R A Z I L E+ I R AX 
brasileiras  B R A Z I L E+ I R AX S 
brasileiro   B R A Z I L E+ I R UX 
brasileiros  B R A Z I L E+ I R UX S 
bravos   B R A+ V UX S 
braço    B R A+ S UX 
braços   B R A+ S UX S 
break    B R E A+ K 
breaks   B R E A+ K S 
brecha   B R E+ SCH AX 
breve    B R E+ V IX 
brevemente   B R E V E M E~+ TJ IX 
breves   B R E+ V IX S 
briga    B R I+ G AX 
brigada  B R I G A+ D AX 
brigadeiro   B R I G A D E+ I R UX 
brigando     B R I G A~+ D UX 
brigar   B R I G A+ RR 
brigas   B R I+ G AX S 
brilha   B R I+ LJ AX 
brilham  B R I+ LJ A~+ W~ 
brilhante    B R I LJ A~+ TJ IX 
brilhantes   B R I LJ A~+ TJ IX S 
brilhar  B R I LJ A+ RR 
brilho   B R I+ LJ UX 
brilhou  B R I LJ O+ 
brinca   B R I~+ K AX 
brincadeira  B R I~ K A D E+ I R AX 
brincadeiras     B R I~ K A D E+ I R AX S 
brincam  B R I~+ K A~+ W~ 
brincando    B R I~ K A~+ D UX 
brincar  B R I~ K A+ RR 
brincavam    B R I~ K A+ V A~+ W~ 
brincos  B R I~+ K UX S 
brincou  B R I~ K O+ 
brinde   B R I~+ DJ IX 
brinquedo    B R I~ K E+ D UX 
brinquedos   B R I~ K E+ D UX S 
britânica    B R I T A~+ N I K AX 
britânico    B R I T A~+ N I K UX 
britânicos   B R I T A~+ N I K UX S 
bronca   B R O~+ K AX 
bronze   B R O~+ Z IX 
bronzeado    B R O~ Z E A+ D UX 
brusco   B R U+ S K UX 
bruta    B R U+ T AX 
brutais  B R U T A+ IX S 
brutal   B R U T A+ W 
brutalidade  B R U T A L I D A+ DJ IX 
bruto    B R U+ T UX 
brutos   B R U+ T UX S 
bruxas   B R U+ SCH AX S 
bruxinha     B R U SCH I+ NJ AX 
bucal    B U K A+ W 
budismo  B U DJ I+ Z M UX 
budistas     B U DJ I+ S T AX S 
buena    B U E+ N AX 
bueno    B U E+ N UX 
bujão    B U Z A~+ W~ 
bunda    B U~+ D AX 
buquê    B U K E+ 
buraco   B U R A+ K UX 
buracos  B U R A+ K UX S 
burgueses    B U RR G E+ Z IX S 
burguesia    B U RR G E Z I+ AX 
burlar   B U RR L A+ RR 
burocracia   B U R O K R A S I+ AX 
burocrática  B U R O K R A+ TJ I K AX 
burocráticos     B U R O K R A+ TJ I K UX S 
burro    B U+ RR UX 
busca    B U+ S K AX 
buscada  B U S K A+ D AX 
buscado  B U S K A+ D UX 
buscam   B U+ S K A~+ W~ 
buscamos     B U S K A~+ M UX S 
buscando     B U S K A~+ D UX 
buscar   B U S K A+ RR 
buscaram     B U S K A+ R A~+ W~ 
buscas   B U+ S K AX S 
buscava  B U S K A+ V AX 
buscavam     B U S K A+ V A~+ W~ 
buscou   B U S K O+ 
busque   B U+ S K IX 
busquem  B U S K E~+ I~ 
by   B I+ 
básica   B A+ Z I K AX 
básicas  B A+ Z I K AX S 
básico   B A+ Z I K UX 
básicos  B A+ Z I K UX S 
bélica   B E+ L I K AX 
bélicas  B E+ L I K AX S 
bêbada   B E+ B A D AX 
bêbado   B E+ B A D UX 
bênção   B E~+ S A~+ W~ 
bíblia   B I+ B L I AX 
bíblica  B I+ B L I K AX 
bíblico  B I+ B L I K UX 
bósnia   B O+ Z N I AX 
bônus    B O+ N UX S 
búlgara  B U+ W G A R AX 
búlgaros     B U+ W G A R UX S 
c    K IX 
ca   K AX 
cabana   K A B A~+ N AX 
cabe     K A+ B IX 
cabeceira    K A B E S E+ I R AX 
cabeceou     K A B E S E O+ 
cabelo   K A B E+ L UX 
cabelos  K A B E+ L UX S 
cabeludo     K A B E L U+ D UX 
cabem    K A+ B E~+ I~ 
caber    K A+ B E RR 
caberia  K A B E R I+ AX 
caberá   K A B E R A+ 
cabeça   K A B E+ S AX 
cabia    K A B I+ AX 
cabina   K A B I+ N AX 
cabine   K A B I+ N IX 
cabines  K A B I+ N IX S 
cabo     K A+ B UX 
cabos    K A+ B UX S 
cabra    K A+ B R AX 
cabras   K A+ B R AX S 
cacau    K A K A+ UX 
cachorrinho  K A SCH O RR I+ NJ UX 
cachorro     K A SCH O+ RR UX 
cachorros    K A SCH O+ RR UX S 
cachos   K A+ SCH UX S 
cachê    K A SCH E+ 
cacife   K A S I+ F IX 
cacique  K A S I+ K IX 
cada     K A+ D AX 
cadastro     K A D A+ S T R UX 
cadeia   K A D E+ I AX 
cadeias  K A D E+ I AX S 
cadeira  K A D E+ I R AX 
cadeiras     K A D E+ I R AX S 
cadela   K A D E+ L AX 
caderneta    K A D E RR N E+ T AX 
caderno  K A D E+ RR N UX 
cadáver  K A D A+ V E RR 
cadáveres    K A D A+ V E R IX S 
cadência     K A D E~+ S I AX 
caem     K A+ E~ I~ 
cafeína  K A F E I+ N AX 
café     K A F E+ 
cafés    K A F E+ S 
cai  K A+ IX 
caia     K A+ I AX 
caiam    K A I+ A~+ W~ 
caiaque  K A I+ A K IX 
caindo   K A I~+ D UX 
cair     K A I+ RR 
cairam   K A I+ R A~+ W~ 
cais     K A+ IX S 
caiu     K A I+ UX 
caixa    K A+ I SCH AX 
caixas   K A+ I SCH AX S 
caixinha     K A I SCH I+ NJ AX 
caixão   K A I SCH A~+ W~ 
calada   K A L A+ D AX 
calado   K A L A+ D UX 
calafrios    K A L A F R I+ UX S 
calar    K A L A+ RR 
calcada  K A W K A+ D AX 
calcanhar    K A W K A~ NJ A+ RR 
calcula  K A W K U+ L AX 
calculada    K A W K U L A+ D AX 
calculadas   K A W K U L A+ D AX S 
calculado    K A W K U L A+ D UX 
calculados   K A W K U L A+ D UX S 
calda    K A+ W D AX 
caldo    K A+ W D UX 
calendário   K A L E~ D A+ R I UX 
calendários  K A L E~ D A+ R I UX S 
calibre  K A L I+ B R IX 
californiana     K A L I F O RR N I A~+ N AX 
calle    K A+ L IX 
calma    K A+ W M AX 
calmante     K A W M A~+ TJ IX 
calmantes    K A W M A~+ TJ IX S 
calmo    K A+ W M UX 
calor    K A L O+ RR 
calorias     K A L O R I+ AX S 
calorosa     K A L O R O+ Z AX 
calorosamente    K A L O R O Z A M E~+ TJ IX 
cama     K A~+ M AX 
camada   K A M A+ D AX 
camadas  K A M A+ D AX S 
camarada     K A M A R A+ D AX 
camaradas    K A M A R A+ D AX S 
camarim  K A M A R I~+ 
camarote     K A M A R O+ TJ IX 
camas    K A~+ M AX S 
cambiais     K A~ B I A+ IX S 
cambial  K A~ B I A+ W 
cambio   K A~ B I+ UX 
cambistas    K A~ B I+ S T AX S 
camelo   K A M E+ L UX 
caminha  K A M I+ NJ AX 
caminhada    K A M I NJ A+ D AX 
caminhadas   K A M I NJ A+ D AX S 
caminham     K A M I+ NJ A~+ W~ 
caminhando   K A M I NJ A~+ D UX 
caminhar     K A M I NJ A+ RR 
caminharam   K A M I NJ A+ R A~+ W~ 
caminhavam   K A M I NJ A+ V A~+ W~ 
caminho  K A M I+ NJ UX 
caminhonete  K A M I NJ O N E+ TJ IX 
caminhos     K A M I+ NJ UX S 
caminhão     K A M I NJ A~+ W~ 
caminhões    K A M I NJ O~+ I~ S 
camioneta    K A M I O N E+ T AX 
camionete    K A M I O N E+ TJ IX 
camisa   K A M I+ Z AX 
camisas  K A M I+ Z AX S 
camiseta     K A M I Z E+ T AX 
camisetas    K A M I Z E+ T AX S 
campanha     K A~ P A~+ NJ AX 
campanhas    K A~ P A~+ NJ AX S 
campeonato   K A~ P E O N A+ T UX 
campeonatos  K A~ P E O N A+ T UX S 
campeã   K A~ P E A~+ 
campeão  K A~ P E A~+ W~ 
campeãs  K A~ P E A~+ S 
campeões     K A~ P E O~+ I~ S 
campina  K A~ P I+ N AX 
campo    K A~+ P UX 
campos   K A~+ P UX S 
camuflado    K A M U F L A+ D UX 
camuflados   K A M U F L A+ D UX S 
camundongo   K A M U~ D O~+ G UX 
cana     K A~+ N AX 
canadense    K A N A D E~+ S IX 
canais   K A N A+ IX S 
canal    K A N A+ W 
canalizar    K A N A L I Z A+ RR 
cancela  K A~ S E+ L AX 
cancelada    K A~ S E L A+ D AX 
cancelado    K A~ S E L A+ D UX 
cancelados   K A~ S E L A+ D UX S 
cancelamento     K A~ S E L A M E~+ T UX 
cancelamentos    K A~ S E L A M E~+ T UX S 
cancelando   K A~ S E L A~+ D UX 
cancelar     K A~ S E L A+ RR 
cancelaram   K A~ S E L A+ R A~+ W~ 
cancelou     K A~ S E L O+ 
cancer   K A~+ S E RR 
canciones    K A~ S I O+ N IX S 
candidata    K A~ DJ I D A+ T AX 
candidatar   K A~ DJ I D A T A+ RR 
candidatas   K A~ DJ I D A+ T AX S 
candidato    K A~ DJ I D A+ T UX 
candidatos   K A~ DJ I D A+ T UX S 
candidatura  K A~ DJ I D A T U+ R AX 
candidaturas     K A~ DJ I D A T U+ R AX S 
canela   K A N E+ L AX 
caneta   K A N E+ T AX 
canhoto  K A~ NJ O+ T UX 
canhão   K A~ NJ A~+ W~ 
canhões  K A~ NJ O~+ I~ S 
canibalismo  K A N I B A L I+ Z M UX 
cannabis     K A~ N A B I+ S 
cano     K A~+ N UX 
canoa    K A N O+ AX 
canoas   K A N O+ AX S 
canos    K A~+ N UX S 
cansa    K A~+ S AX 
cansada  K A~ S A+ D AX 
cansadas     K A~ S A+ D AX S 
cansado  K A~ S A+ D UX 
cansados     K A~ S A+ D UX S 
cansam   K A~+ S A~+ W~ 
cansar   K A~ S A+ RR 
cansativo    K A~ S A TJ I+ V UX 
cansou   K A~ S O+ 
canta    K A~+ T AX 
cantam   K A~+ T A~+ W~ 
cantando     K A~ T A~+ D UX 
cantar   K A~ T A+ RR 
cantaram     K A~ T A+ R A~+ W~ 
cantava  K A~ T A+ V AX 
cantavam     K A~ T A+ V A~+ W~ 
canteiro     K A~ T E+ I R UX 
canteiros    K A~ T E+ I R UX S 
cantinas     K A~ TJ I+ N AX S 
canto    K A~+ T UX 
cantor   K A~ T O+ RR 
cantora  K A~ T O+ R AX 
cantoras     K A~ T O+ R AX S 
cantores     K A~ T O+ R IX S 
cantos   K A~+ T UX S 
cantou   K A~ T O+ 
cantão   K A~ T A~+ W~ 
canção   K A~ S A~+ W~ 
canícula     K A N I+ K U L AX 
caos     K A+ UX S 
capa     K A+ P AX 
capacete     K A P A S E+ TJ IX 
capacidade   K A P A S I D A+ DJ IX 
capacidades  K A P A S I D A+ DJ IX S 
capaz    K A P A+ S 
capazes  K A P A+ Z IX S 
capela   K A P E+ L AX 
capitais     K A P I T A+ IX S 
capital  K A P I T A+ W 
capitalismo  K A P I T A L I+ Z M UX 
capitalizar  K A P I T A L I Z A+ RR 
capitães     K A P I T A~+ I~ S 
capitão  K A P I T A~+ W~ 
capivara     K A P I V A+ R AX 
capoeira     K A P O E+ I R AX 
capota   K A P O+ T AX 
capote   K A P O+ TJ IX 
capricho     K A P R I+ SCH UX 
capta    K A+ P T AX 
captados     K A P T A+ D UX S 
captar   K A P T A+ RR 
captou   K A P T O+ 
captura  K A P T U+ R AX 
capturadas   K A P T U R A+ D AX S 
capturado    K A P T U R A+ D UX 
capturar     K A P T U R A+ RR 
capturou     K A P T U R O+ 
capuz    K A P U+ S 
capítulo     K A P I+ T U L UX 
capítulos    K A P I+ T U L UX S 
cara     K A+ R AX 
caracteriza  K A R A K T E R I+ Z AX 
caracterizada    K A R A K T E R I Z A+ D AX 
caracterizadas   K A R A K T E R I Z A+ D AX S 
caracterizado    K A R A K T E R I Z A+ D UX 
caracterizaram   K A R A K T E R I Z A+ R A~+ W~ 
caracterizava    K A R A K T E R I Z A+ V AX 
caracterizou     K A R A K T E R I Z O+ 
característica   K A R A K T E R I+ S TJ I K AX 
características  K A R A K T E R I+ S TJ I K AX S 
característico   K A R A K T E R I+ S TJ I K UX 
caras    K A+ R AX S 
caravanas    K A R A V A~+ N AX S 
carbono  K A RR B O+ N UX 
carcereiros  K A RR S E R E+ I R UX S 
cardeais     K A RR D E A+ IX S 
cardeal  K A RR D E A+ W 
cardiologista    K A RR DJ I O L O Z I+ S T AX 
cardiopatia  K A RR DJ I O P A TJ I+ AX 
cardiovasculares     K A RR DJ I O V A S K U L A+ R IX S 
cardápio     K A RR D A+ P I UX 
cardíaca     K A RR DJ I+ A K AX 
cardíacas    K A RR DJ I+ A K AX S 
cardíaco     K A RR DJ I+ A K UX 
cardíacos    K A RR DJ I+ A K UX S 
carecem  K A R E+ S E~+ I~ 
carentes     K A R E~+ TJ IX S 
carga    K A+ RR G AX 
cargas   K A+ RR G AX S 
cargo    K A+ RR G UX 
cargos   K A+ RR G UX S 
caribenho    K A R I B E+ NJ UX 
caricatura   K A R I K A T U+ R AX 
caricaturas  K A R I K A T U+ R AX S 
caridade     K A R I D A+ DJ IX 
carinho  K A R I+ NJ UX 
carioca  K A R I O+ K AX 
cariocas     K A R I O+ K AX S 
carisma  K A R I+ Z M AX 
carismática  K A R I Z M A+ TJ I K AX 
carismático  K A R I Z M A+ TJ I K UX 
carnaval     K A RR N A V A+ W 
carne    K A+ RR N IX 
carneiros    K A RR N E+ I R UX S 
carnes   K A+ RR N IX S 
carnívoro    K A RR N I+ V O R UX 
caro     K A+ R UX 
carona   K A R O+ N AX 
caros    K A+ R UX S 
carpete  K A RR P E+ TJ IX 
carrega  K A RR E+ G AX 
carregada    K A RR E G A+ D AX 
carregadas   K A RR E G A+ D AX S 
carregado    K A RR E G A+ D UX 
carregador   K A RR E G A D O+ RR 
carregados   K A RR E G A+ D UX S 
carregam     K A RR E+ G A~+ W~ 
carregamento     K A RR E G A M E~+ T UX 
carregando   K A RR E G A~+ D UX 
carregar     K A RR E G A+ RR 
carregava    K A RR E G A+ V AX 
carregavam   K A RR E G A+ V A~+ W~ 
carreira     K A RR E+ I R AX 
carreiras    K A RR E+ I R AX S 
carrinho     K A RR I+ NJ UX 
carro    K A+ RR UX 
carroceria   K A RR O S E R I+ AX 
carros   K A+ RR UX S 
carrossel    K A RR O S E+ W 
carroça  K A RR O S AX 
carta    K A+ RR T AX 
cartas   K A+ RR T AX S 
cartaz   K A RR T A+ S 
cartazes     K A RR T A+ Z IX S 
carteira     K A RR T E+ I R AX 
carteiras    K A RR T E+ I R AX S 
cartel   K A RR T E+ W 
cartão   K A RR T A~+ W~ 
cartéis  K A RR T E+ IX S 
cartões  K A RR T O~+ I~ S 
carvão   K A RR V A~+ W~ 
carácter     K A R A+ K T E RR 
caráter  K A R A+ T E RR 
carência     K A R E~+ S I AX 
carótida     K A R O+ TJ I D AX 
casa     K A+ Z AX 
casaca   K A Z A+ K AX 
casaco   K A Z A+ K UX 
casacos  K A Z A+ K UX S 
casada   K A Z A+ D AX 
casadas  K A Z A+ D AX S 
casado   K A Z A+ D UX 
casados  K A Z A+ D UX S 
casais   K A Z A+ IX S 
casal    K A Z A+ W 
casamento    K A Z A M E~+ T UX 
casamentos   K A Z A M E~+ T UX S 
casar    K A Z A+ RR 
casaria  K A Z A R I+ AX 
casarão  K A Z A R A~+ W~ 
casas    K A+ Z AX S 
casca    K A+ S K AX 
cascalho     K A S K A+ LJ UX 
case     K A+ Z IX 
caseira  K A Z E+ I R AX 
caseiro  K A Z E+ I R UX 
caso     K A+ Z UX 
casos    K A+ Z UX S 
casou    K A Z O+ 
casou-se     K A Z O+ S IX 
cassada  K A S A+ D AX 
cassetes     K A S E+ TJ IX S 
cassetetes   K A S E T E+ TJ IX S 
cassinos     K A S I+ N UX S 
casta    K A+ S T AX 
castanha     K A S T A~+ NJ AX 
castanho     K A S T A~+ NJ UX 
castas   K A+ S T AX S 
castelo  K A S T E+ L UX 
castelos     K A S T E+ L UX S 
castigar     K A S TJ I G A+ RR 
castigo  K A S TJ I+ G UX 
castigos     K A S TJ I+ G UX S 
castrar  K A S T R A+ RR 
casual   K A Z U A+ W 
catalã   K A T A L A~+ 
catalães     K A T A L A~+ I~ S 
catalão  K A T A L A~+ W~ 
cataratas    K A T A R A+ T AX S 
catarinense  K A T A R I N E~+ S IX 
catastrófica     K A T A S T R O+ F I K AX 
catastróficos    K A T A S T R O+ F I K UX S 
categoria    K A T E G O R I+ AX 
categorias   K A T E G O R I+ AX S 
categoricamente  K A T E G O R I K A M E~+ TJ IX 
cativeiro    K A TJ I V E+ I R UX 
catálogo     K A T A+ L O G UX 
catástrofe   K A T A+ S T R O F IX 
católica     K A T O+ L I K AX 
católico     K A T O+ L I K UX 
católicos    K A T O+ L I K UX S 
caubói   K A U B O+ IX 
cauda    K A+ U D AX 
causa    K A+ U Z AX 
causada  K A U Z A+ D AX 
causadas     K A U Z A+ D AX S 
causado  K A U Z A+ D UX 
causadores   K A U Z A D O+ R IX S 
causados     K A U Z A+ D UX S 
causam   K A U+ Z A~+ W~ 
causando     K A U Z A~+ D UX 
causar   K A U Z A+ RR 
causaram     K A U Z A+ R A~+ W~ 
causaria     K A U Z A R I+ AX 
causas   K A+ U Z AX S 
causava  K A U Z A+ V AX 
cause    K A+ U Z IX 
causou   K A U Z O+ 
cautela  K A U T E+ L AX 
caução   K A U S A~+ W~ 
cavalaria    K A V A L A R I+ AX 
cavaleiro    K A V A L E+ I R UX 
cavaleiros   K A V A L E+ I R UX S 
cavalheiros  K A V A LJ E+ I R UX S 
cavalo   K A V A+ L UX 
cavalos  K A V A+ L UX S 
cavar    K A V A+ RR 
caveiras     K A V E+ I R AX S 
caverna  K A V E+ RR N AX 
cavernas     K A V E+ RR N AX S 
cavidade     K A V I D A+ DJ IX 
caçula   K A S U+ L AX 
caí  K A I+ 
caía     K A I+ AX 
caída    K A I+ D AX 
caído    K A I+ D UX 
caídos   K A I+ D UX S 
caíram   K A I+ R A~+ W~ 
caótica  K A O+ TJ I K AX 
caótico  K A O+ TJ I K UX 
ce   S E+ 
cearense     S E A R E~+ S IX 
cebola   S E B O+ L AX 
ceda     S E+ D AX 
cede     S E+ DJ IX 
cedendo  S E D E~+ D UX 
ceder    S E+ D E RR 
cedeu    S E D E+ UX 
cedidos  S E DJ I+ D UX S 
cedo     S E+ D UX 
cega     S E+ G AX 
cego     S E+ G UX 
cegos    S E+ G UX S 
cegueira     S E G E+ I R AX 
ceia     S E+ I AX 
cela     S E+ L AX 
celas    S E+ L AX S 
celebra  S E L E+ B R AX 
celebrada    S E L E B R A+ D AX 
celebram     S E L E+ B R A~+ W~ 
celebrar     S E L E B R A+ RR 
celebração   S E L E B R A S A~+ W~ 
celebridade  S E L E B R I D A+ DJ IX 
celebridades     S E L E B R I D A+ DJ IX S 
celeste  S E L E+ S TJ IX 
celibato     S E L I B A+ T UX 
celular  S E L U L A+ RR 
celulares    S E L U L A+ R IX S 
celulose     S E L U L O+ Z IX 
cem  S E~+ I~ 
cemitério    S E M I T E+ R I UX 
cena     S E+ N AX 
cenas    S E+ N AX S 
censores     S E~ S O+ R IX S 
censura  S E~ S U+ R AX 
centavo  S E~ T A+ V UX 
centavos     S E~ T A+ V UX S 
centena  S E~ T E+ N AX 
centenas     S E~ T E+ N AX S 
centenário   S E~ T E N A+ R I UX 
cento    S E~+ T UX 
centradas    S E~ T R A+ D AX S 
centrado     S E~ T R A+ D UX 
centrados    S E~ T R A+ D UX S 
centrais     S E~ T R A+ IX S 
central  S E~ T R A+ W 
centralizar  S E~ T R A L I Z A+ RR 
centralização    S E~ T R A L I Z A S A~+ W~ 
centrar  S E~ T R A+ RR 
centristas   S E~ T R I+ S T AX S 
centro   S E~+ T R UX 
centroavante     S E~ T R O A V A~+ TJ IX 
centros  S E~+ T R UX S 
centrou  S E~ T R O+ 
centímetro   S E~ TJ I+ M E T R UX 
centímetros  S E~ TJ I+ M E T R UX S 
cenário  S E N A+ R I UX 
cenários     S E N A+ R I UX S 
cepa     S E+ P AX 
cera     S E+ R AX 
cerca    S E+ RR K AX 
cercada  S E RR K A+ D AX 
cercado  S E RR K A+ D UX 
cercados     S E RR K A+ D UX S 
cercar   S E RR K A+ RR 
cercas   S E+ RR K AX S 
cercava  S E RR K A+ V AX 
cercavam     S E RR K A+ V A~+ W~ 
cerco    S E+ RR K UX 
cercou   S E RR K O+ 
cereais  S E R E A+ IX S 
cereal   S E R E A+ W 
cerebrais    S E R E B R A+ IX S 
cerebral     S E R E B R A+ W 
cerebro  S E R E+ B R UX 
cerimonial   S E R I M O N I A+ W 
cerimônia    S E R I M O+ N I AX 
cerne    S E+ RR N IX 
cerrada  S E RR A+ D AX 
cerrado  S E RR A+ D UX 
cerrados     S E RR A+ D UX S 
cerrar   S E RR A+ RR 
certa    S E+ RR T AX 
certamente   S E RR T A M E~+ TJ IX 
certas   S E+ RR T AX S 
certeiro     S E RR T E+ I R UX 
certeza  S E RR T E+ Z AX 
certezas     S E RR T E+ Z AX S 
certidão     S E RR TJ I D A~+ W~ 
certificado  S E RR TJ I F I K A+ D UX 
certificados     S E RR TJ I F I K A+ D UX S 
certo    S E+ RR T UX 
certos   S E+ RR T UX S 
cerveja  S E RR V E+ Z AX 
cervejaria   S E RR V E Z A R I+ AX 
cervejas     S E RR V E+ Z AX S 
cerâmica     S E R A~+ M I K AX 
cessa    S E+ S AX 
cessam   S E+ S A~+ W~ 
cessar   S E S A+ RR 
cessaram     S E S A+ R A~+ W~ 
cessarem     S E S A+ R E~ I~ 
cessarão     S E S A R A~+ W~ 
cesta    S E+ S T AX 
cestas   S E+ S T AX S 
cestinha     S E S TJ I+ NJ AX 
ceticismo    S E TJ I S I+ Z M UX 
cevada   S E V A+ D AX 
chacina  SCH A S I+ N AX 
chalé    SCH A L E+ 
chalés   SCH A L E+ S 
chama    SCH A~+ M AX 
chamada  SCH A M A+ D AX 
chamadas     SCH A M A+ D AX S 
chamado  SCH A M A+ D UX 
chamados     SCH A M A+ D UX S 
chamam   SCH A~+ M A~+ W~ 
chamamos     SCH A M A~+ M UX S 
chamar   SCH A M A+ RR 
chamaram     SCH A M A+ R A~+ W~ 
chamaria     SCH A M A R I+ AX 
chamas   SCH A~+ M AX S 
chamava  SCH A M A+ V AX 
chame    SCH A~+ M IX 
chamei   SCH A M E+ IX 
chaminé  SCH A M I N E+ 
chamo    SCH A~+ M UX 
chamou   SCH A M O+ 
champanhe    SCH A~ P A~+ NJ IX 
chance   SCH A~+ S IX 
chancelaria  SCH A~ S E L A R I+ AX 
chanceler    SCH A~ S E+ L E RR 
chances  SCH A~+ S IX S 
chantagem    SCH A~ T A+ Z E~ I~ 
